Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
446.2279,13.07,5790423.278,9032120.668,14202655.56,43371465.94,78691063.8,61205925.62
892.4585,12.98,1,1,1,1,80149102.62,1
446.2461,13.32,67036077.37,82977032.15,104481692.7,1,1,1
892.4867,12.99,1,1,1,43471547.24,80156449.37,62609076.77
477.1159,6.36,70478279.67,78234801.9,77912238.11,65726230.15,63382513.15,64632494.45
478.071,4.44,58289759.71,59220605.57,60325090.68,46841617.49,52638488.29,49457067.92
446.2432,13.39,67055409.28,82920166.41,1,1,1,1
422.2143,13.67,1,1,1,1,1,2244.184329
896.5172,14.28,1,1,1,1,1,1
432.2281,12.67,339749.6909,22772086.94,30641985.21,71526214.79,50569227.85,61736845.6
493.111,3.1,21945519.63,26371313.68,27451645.39,23950914.97,19423478.49,21920821.82
448.2592,14.88,1,1,1,2394158.543,1,1
434.2437,13.73,1,1,22269933.86,50793817.54,37861022.75,44918098.4
896.5174,14.46,1,1,1,1,78559611.64,57536254.55
438.2403,12.19,1,1,1,24520.91639,22626.63707,20635.42355
447.2469,13.2,1,1,1,53750286.15,1,63516346.41
423.2461,13.66,1,1393.966473,1,1,2387.497744,1
844.4859,13.7,1,1,1,1,7315.251253,1
892.4864,13.15,1,1,1,43213433.07,79301502.2,61926258.8
837.5936,5.55,21688751.81,19846030.29,17053131.38,40067857.8,39070565.31,39157626.46
724.5097,5.28,22150724.21,20476124.84,18985264.73,40225071.35,38667924.95,39240160.45
896.518,14.57,1,1,2234.541445,40255145.77,1,57999655.13
388.1378,2.94,16867842.3,18000061.4,19469742.63,25574398.38,26228987.06,25926254.74
477.2857,12.3,14538874.55,16134439.59,15241188.96,23268424.62,16479390.05,19599382.78
448.2594,14.99,1,26978250.73,41166478.21,1,1,1
475.2701,11.58,15366146.47,17489619.03,16520637.19,28251646.1,16481648.12,23274512.44
278.2245,12.99,1,1,1,1,27812885.56,1
478.0716,3.73,11387490.63,12665365.86,11341098.01,12194528.89,14930279.66,13681258.23
254.2246,13.66,1,1,1,1,1,1
340.2404,15.3,5741208.318,12280864.01,5889686.999,15306821.65,16058185.37,15874450.41
434.2434,13.81,6845527.502,14573019.31,22271684.93,1,1,1
610.154,3.96,24294017.09,26879193.38,27574923.07,30037955.2,27607977.15,29711145.96
896.523,14.62,1,1,2329.707061,40262369.77,1,1
464.1527,5.07,9289399.158,8813846.78,8849336.637,7115907.79,9104184.86,8209613.514
422.2437,14.07,1,1,1,7595888.535,12364700.66,10176935.08
278.2248,13.03,1,1,1,18078218.22,27812885.56,22091020
332.1208,3.35,14336066.56,15006386.86,15899140.77,1,1,1
463.1001,5.49,12165252.46,13879600.15,13665131.19,9505256.814,9272833.965,9481908.52
950.6773,5.77,12506085.55,10741990.41,8285364.789,23815818.06,22955748.44,23235349.29
