leixing,Mass,RT,SXT-col-12h+13c6-phe-1,SXT-col-12h+13c6-phe-2,SXT-col-12h+13c6-phe-3,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3
1.0,332.1208,3.35,14336066.56,15006386.86,15899140.77,1.0,1.0,1.0
0.0,326.0999,3.35,1421810.634,1551017.328,1659991.197,1191385.177,1427394.785,1353163.023
1.0,600.1779,4.3,1208699.474,1287256.988,1189823.721,1.0,1.0,1.0
0.0,594.159,4.31,16929921.68,17184248.99,16653306.76,21666144.4,19760046.61,20671675.96
1.0,152.0568,3.35,2751015.361,2892284.537,3022856.292,1.0,1.0,1.0
0.0,146.037,3.35,263172.7747,315391.7626,341312.9777,242133.6729,284269.4381,262526.9115
1.0,213.1095,4.65,601466.5578,813254.2249,604388.2614,1.0,1.0,1.0
0.0,207.0892,4.65,170918.2563,206484.9263,157258.308,243139.2335,263182.2686,248420.9532
1.0,424.1673,3.17,534968.311,620363.2175,624099.6657,1.0,1.0,1122.400648
0.0,418.1481,3.17,4899497.748,5330841.376,5652415.345,7959085.343,6783957.124,7356838.716
1.0,471.1323,6.24,501760.1141,513042.7611,582146.1107,1.0,1.0,1.0
0.0,465.1122,6.24,434281.2792,438108.7781,434749.6961,423886.7295,385758.3361,414546.1924
1.0,378.1258,2.59,807645.7991,893876.9779,859152.245,1.0,1.0,1.0
0.0,372.1053,2.59,127038.6552,139638.3246,162170.0106,106573.2894,102468.598,137714.5148
1.0,170.0673,2.59,835688.3748,847650.9671,1036178.147,1.0,1.0,1.0
0.0,164.0476,2.59,132789.4908,140625.3108,166864.6044,81279.30049,90629.82004,95811.66835
1.0,154.0728,2.04,1679367.288,1913519.754,1839615.964,1.0,1.0,1.0
0.0,148.0528,2.05,72156.46983,71611.60597,77354.15921,61602.72729,42911.15252,51142.49182
1.0,124.0618,3.34,867766.0409,913227.0875,970321.3401,1.0,1.0,1.0
0.0,118.042,3.35,97353.96401,97059.56999,104684.1817,88379.59043,100922.5619,93188.25346
1.0,470.1145,4.79,321110.3106,344339.7652,333564.2685,1.0,1.0,1.0
0.0,464.0938,4.79,58718.49126,100311.7399,102731.654,141791.9379,115674.7666,126548.2002
1.0,762.2306,3.4,293367.1013,286233.559,326701.7709,1.0,1.0,1.0
0.0,756.2119,3.4,2693454.09,3389592.71,3793376.478,5589183.424,5343724.94,5454005.48
1.0,332.1205,2.59,289999.4542,406937.4103,430321.1708,1.0,1.0,1.0
0.0,326.1003,2.59,205383.9185,259047.0568,223487.0641,250248.3772,257311.4728,263814.3768
1.0,732.2346,5.83,28306.5692,27463.41926,36543.58984,1.0,1.0,1.0
0.0,726.2155,5.83,1074388.716,1349919.827,1200632.268,1385365.702,1476388.342,1392953.658
1.0,558.2033,6.79,113605.0015,98811.26244,103663.1291,3128.149725,5146.630114,3700.153299
0.0,552.184,6.79,4194222.048,4201036.357,3184911.442,3805372.113,3415913.874,4286175.245
1.0,400.1078,2.59,424639.3212,484108.2524,514296.1212,1.0,1.0,13175.73107
0.0,394.0876,2.59,108632.9772,111072.8393,131879.0699,109251.7595,115172.3478,121660.9951
1.0,384.1282,2.93,283324.997,294280.3006,264210.7319,1.0,3928.104133,1.0
0.0,378.1081,2.93,1098703.777,1205619.307,1309999.608,1678487.787,1712960.983,1683445.225
1.0,454.1197,5.25,155849.1859,244546.6138,244289.5483,1.0,1.0,1.0
0.0,448.0994,5.25,104482.7831,96198.20404,106727.8605,52247.36969,90294.4878,87709.74079
1.0,485.1478,7.1,250249.1774,238219.1392,242820.6221,1.0,1.0,1.0
0.0,479.1274,7.1,258468.9806,198978.286,239769.7759,228370.1749,181275.5302,194109.8336
1.0,616.1729,3.44,183877.11,235493.744,210587.2157,1.0,1.0,1.0
